Source,Target,Weight
10101874620,10101978329,0.173
10100314776,10100235615,0.0146
10100235615,10101258929,0.7681
10200007381,10101258929,0.0237
10101134554,10101258929,0.0237
10101175572,10101258929,0.0191
10861051155,10101258929,0.0113
10100235615,10861051155,0.8544
10100235615,10861494662,0.5328
10100686779,10100889278,0.1594
10100246682,10100917154,0.0271
10100235615,10660015738,0.5086
10100246682,10660015738,0.0487
10101134554,10660015738,0.0195
10100686779,10380252873,0.0952
10100641966,10380252873,0.0136
10861081241,10820049324,0.6831
10101134554,10820049324,0.0166
10100314776,10820049324,0.014
10100539090,10100300290,0.0247
10101662543,10100300290,0.0206
10101972093,10861100557,0.0239
10840118827,10103858909,0.531
10861529526,10760319653,0.0492
10100539090,10102757695,0.7669
10101662543,10102757695,0.0172
10101134554,10100246682,0.0108
10100288420,10101178687,0.1496
10101044869,10101942066,0.7128
10860515050,10630161649,0.4183
10100582059,10630161649,0.0359
10101660410,10102172273,0.925
10100235615,10101094745,0.5411
10100686779,10101094745,0.1522
10101134554,10101094745,0.0157
10100686779,10630019476,0.1333
10100235615,10101054217,0.427
10100686779,10101054217,0.0193
10101236571,10780114515,0.6746
10630019476,10100665220,0.1948
10100246682,10100665220,0.1738
10100235615,10100665220,0.088
10100917154,10100665220,0.029
10220016318,10100665220,0.0228
10101660410,10102680599,0.4564
10100582059,10460036512,0.0155
10460002140,10100359308,0.5573
10860251887,10100359308,0.0278
14004518505,10320903570,0.1447
10101750182,10320903570,0.0979
10101134554,10480015652,0.0189
10100235615,10260259140,0.0518
10101175572,10260259140,0.0153
10220016318,10260259140,0.0147
10260259140,10100233725,0.1151
10100235615,10100233725,0.0336
10100235615,10530324529,0.5627
10101750182,10530324529,0.1584
10100235615,10200007381,0.069
10102906939,10480063936,0.5045
10101887744,10480063936,0.3254
10100686779,10100383781,0.102
10100686779,10861081241,0.0244
10100314776,10861081241,0.0116
10101044869,10101908370,0.8582
10861736062,10700144582,0.0273
10100686779,10220016318,0.1248
10100235615,10220016318,0.0134
10101134554,10220016318,0.0131
10100233725,10100233725,0.9999
10102757695,10102239945,0.6048
10260289240,10260328876,0.2737
10100686779,10100387143,0.1287
10260289240,10260357602,0.5176
10100314776,10260357602,0.0585
10860958854,10260357602,0.0174
10260289240,10260377008,0.5637
10860958854,10260377008,0.0445
10260357602,10260377008,0.0284
14004518505,10103251617,0.0299
10100314776,10260289240,0.0187
10101138294,10000000004,0.0911
10260085303,10000000004,0.0289
10861926358,10000000004,0.0278
10100941473,10000000004,0.0242
10220016318,10000000004,0.019
10460036512,10000000004,0.0175
10101978329,10000000004,0.0102
10100360794,10101136712,0.8507
10100326014,10101136712,0.0315
10102801942,10320453421,0.7497
10101634157,10320826260,0.5626
10101887744,10320826260,0.1726
10860515050,10320826260,0.17
10103389006,14005725237,0.1999
10102194601,10103584900,0.2292
10100539090,10103584900,0.0923
10101660410,10103584900,0.0517
10102680599,10103584900,0.0169
