label,id
صنايع پتروشيمي تخت جمشيد,10103251617
تكادو,10260289240
توليدكنندگان بورس كالاي ايران,10000000004
توليدمحورخودرو,10101136712
تامين سرمايه بانك ملت,10320453421
تجلي توسعه معادن و فلزات,10320826260
بيمه تجارت نو,14005725237
تامين سرمايه نوين,10103584900
توسعه و عمران شهرستان نائين,10260041071
مهندسي مرآت پولاد,10260322490
تراكتورسازي‌ايران‌,10200044047
ايران‌ ترانسفو,10100433825
تامين سرمايه امين,10103525426
توسعه‌ صنايع‌ بهشهر(هلدينگ‌,10100539090
ترانسفورماتور توزيع زنگان,10460096368
ليزينگ اقتصاد نوين,10103024860
واسپاري ملت,10103972003
پتروشيمي مرجان,10102967236
توليد برق پرند مپنا,10320814852
شركت اعتباري ثامن,10000000010
تامين سرمايه كيميا,10000000012
پايانه ها و مخازن پتروشيمي,10000000017
زغالسنگ البرز شرقي,10480037917
سرمايه‌گذاري مسكن زاينده رود,10260482101
گروه مالی ملت,10102801942
بهساز مشارکت های ملت,10101165910
گروه فن آوران بهسازان فردا,14004003162
شبکه الکترونیکی پرداخت کارت شاپرک,10320718470
گروه بهمن,10100231402
بانک سامان,10101972093
ذوب آهن اصفهان,10260085303
کربن ایران,10840118827
سرمایه گذاری تأمین اجتماعی,10101044869
بیمه دانا,10100641966
تولیدی و خدمات صنایع نسوز توکا,10260057369
صنایع مس شهیدباهنر,10100941473
